run_id,k,window,lambda,w_window,p_miss,vip_stat,bad,rho_eff
seed=101__K=4__ts=20260118-213031__git=unknown__cfg=5dc989,4,1,4.200000,2,0.000000,0.044936,0,0.166642
seed=101__K=4__ts=20260118-213031__git=unknown__cfg=5dc989,4,2,4.200000,2,0.000000,0.044383,0,0.166642
seed=101__K=4__ts=20260118-213031__git=unknown__cfg=5dc989,4,3,5.000000,2,0.000000,0.046583,0,0.198383
seed=101__K=4__ts=20260118-213031__git=unknown__cfg=5dc989,4,4,3.900000,2,0.000000,0.045368,0,0.154739
seed=101__K=4__ts=20260118-213031__git=unknown__cfg=5dc989,4,7,4.100000,2,0.000000,0.041081,0,0.162674
seed=101__K=4__ts=20260118-213031__git=unknown__cfg=5dc989,4,9,4.200000,2,0.000000,0.049756,0,0.166642
seed=101__K=4__ts=20260118-213031__git=unknown__cfg=5dc989,4,10,4.700000,2,0.000000,0.041484,0,0.186480
seed=101__K=4__ts=20260118-213031__git=unknown__cfg=5dc989,4,11,4.600000,2,0.000000,0.043208,0,0.182513
seed=101__K=4__ts=20260118-213031__git=unknown__cfg=5dc989,4,12,4.400000,2,0.000000,0.050031,0,0.174577
seed=101__K=4__ts=20260118-213031__git=unknown__cfg=5dc989,4,14,3.600000,2,0.000000,0.038044,0,0.142836
seed=101__K=4__ts=20260118-213031__git=unknown__cfg=5dc989,4,16,3.800000,2,0.000000,0.045240,0,0.150771
seed=101__K=4__ts=20260118-213031__git=unknown__cfg=5dc989,4,17,4.000000,2,0.000000,0.042280,0,0.158707
seed=101__K=4__ts=20260118-213031__git=unknown__cfg=5dc989,4,18,4.000000,2,0.000000,0.045159,0,0.158707
seed=101__K=4__ts=20260118-213031__git=unknown__cfg=5dc989,4,20,14.100000,5,0.200000,3.893466,1,14.659441
seed=101__K=4__ts=20260118-213031__git=unknown__cfg=5dc989,4,22,14.100000,5,0.200000,8.563779,1,14.659441
seed=101__K=4__ts=20260118-213031__git=unknown__cfg=5dc989,4,23,12.600000,5,0.200000,4.985994,1,13.099926
seed=101__K=4__ts=20260118-213031__git=unknown__cfg=5dc989,4,28,12.400000,5,0.200000,2.448225,1,12.891991
seed=101__K=4__ts=20260118-213031__git=unknown__cfg=5dc989,4,29,12.300000,5,0.200000,3.709895,1,12.788023
seed=101__K=4__ts=20260118-213031__git=unknown__cfg=5dc989,4,30,11.800000,5,0.200000,3.620656,1,12.268185
seed=101__K=4__ts=20260118-213031__git=unknown__cfg=5dc989,4,32,14.400000,5,0.200000,6.667239,1,14.971344
seed=101__K=4__ts=20260118-213031__git=unknown__cfg=5dc989,4,34,14.900000,5,0.200000,2.924835,1,15.491182
seed=101__K=4__ts=20260118-213031__git=unknown__cfg=5dc989,4,39,12.200000,5,0.200000,2.139389,1,12.684055
seed=101__K=4__ts=20260118-213031__git=unknown__cfg=5dc989,4,41,4.200000,2,0.000000,0.040102,0,0.166642
seed=101__K=4__ts=20260118-213031__git=unknown__cfg=5dc989,4,42,4.100000,2,0.000000,0.041161,0,0.162674
seed=101__K=4__ts=20260118-213031__git=unknown__cfg=5dc989,4,44,4.100000,2,0.000000,0.041413,0,0.162674
seed=101__K=4__ts=20260118-213031__git=unknown__cfg=5dc989,4,46,3.000000,2,0.000000,0.038960,0,0.119030
seed=101__K=4__ts=20260118-213031__git=unknown__cfg=5dc989,4,47,4.100000,2,0.000000,0.041450,0,0.162674
seed=101__K=4__ts=20260118-213031__git=unknown__cfg=5dc989,4,48,3.900000,2,0.000000,0.039573,0,0.154739
seed=101__K=4__ts=20260118-213031__git=unknown__cfg=5dc989,4,52,3.200000,2,0.000000,0.043309,0,0.126965
seed=101__K=4__ts=20260118-213031__git=unknown__cfg=5dc989,4,54,4.100000,2,0.000000,0.040375,0,0.162674
seed=101__K=4__ts=20260118-213031__git=unknown__cfg=5dc989,4,55,5.000000,2,0.000000,0.041217,0,0.198383
seed=101__K=4__ts=20260118-213031__git=unknown__cfg=5dc989,4,59,3.600000,2,0.000000,0.041697,0,0.142836
seed=102__K=4__ts=20260118-214037__git=unknown__cfg=450e73,4,0,4.300000,2,0.000000,0.045710,0,0.170610
seed=102__K=4__ts=20260118-214037__git=unknown__cfg=450e73,4,1,4.400000,2,0.000000,0.053334,0,0.174577
