policy,t_s,queue_p99_s,engine_p99_s,thrash_per_s
GlobalFIFO,0.0,,,2.0
GlobalFIFO,1.0,,,2.0
GlobalFIFO,2.0,,,1.0
GlobalFIFO,3.0,,,1.0
GlobalFIFO,4.0,,,1.0
GlobalFIFO,5.0,,,0.0
GlobalFIFO,6.0,,,1.0
GlobalFIFO,7.0,,,1.0
GlobalFIFO,8.0,0.0009249591827392578,0.04319352149963379,1.0
GlobalFIFO,9.0,0.0009281373023986816,0.043226003646850586,1.0
GlobalFIFO,10.0,0.0009277248382568359,0.04321742057800293,1.0
GlobalFIFO,11.0,0.0010367488861083983,0.04321742057800293,1.0
GlobalFIFO,12.0,0.0010367488861083983,0.04321742057800293,2.0
GlobalFIFO,13.0,0.0010367488861083983,0.04321742057800293,0.0
GlobalFIFO,14.0,0.001037898063659668,0.04226891279220581,1.0
GlobalFIFO,15.0,0.00103330135345459,0.04225492238998413,3.0
GlobalFIFO,16.0,0.0010321521759033203,0.042239208221435544,1.0
GlobalFIFO,17.0,0.001032724380493164,0.042239208221435544,2.0
GlobalFIFO,18.0,0.0011378312110900879,0.046419234275817865,2.0
GlobalFIFO,19.0,0.0011454677581787108,0.04645016670227051,2.0
GlobalFIFO,20.0,0.0011449599266052245,0.046419234275817865,3.0
GlobalFIFO,21.0,0.0011449599266052245,0.046419234275817865,3.0
GlobalFIFO,22.0,0.0011444520950317384,0.04642341613769531,2.0
GlobalFIFO,23.0,0.0011444520950317384,0.04642341613769531,3.0
GlobalFIFO,24.0,0.001143944263458252,0.04639499187469482,2.0
GlobalFIFO,25.0,0.0011454677581787108,0.046480264663696286,0.0
GlobalFIFO,26.0,0.0011459755897521972,0.04650868892669678,3.0
GlobalFIFO,27.0,0.0015097045898437495,0.046480264663696286,0.0
GlobalFIFO,28.0,0.0015036106109619137,0.04390442848205566,0.0
GlobalFIFO,29.0,0.0014703178405761723,0.04391063690185547,2.0
GlobalFIFO,30.0,0.0014703178405761723,0.04368268013000488,3.0
GlobalFIFO,31.0,0.0015329194068908693,0.04368268013000488,1.0
GlobalFIFO,32.0,0.0015305900573730467,0.041216802597045896,2.0
