k,policy,seed,vip_rps,bg_rps,total_rps,tokeq_s
4,GlobalFIFO,101,0.906,9.484,10.429,20152.9
4,GlobalFIFO,102,0.955,9.700,10.655,20609.3
4,GlobalFIFO,103,1.004,9.916,10.881,21065.7
4,CLIMB,101,0.906,9.486,10.431,20156.2
4,CLIMB,102,0.955,9.701,10.656,20610.2
4,CLIMB,103,1.004,9.916,10.881,21064.2
8,GlobalFIFO,101,0.906,9.495,10.440,20175.5
8,GlobalFIFO,102,0.955,9.705,10.660,20619.9
8,GlobalFIFO,103,1.004,9.915,10.880,21064.3
8,CLIMB,101,0.906,9.485,10.430,20154.2
8,CLIMB,102,0.955,9.700,10.655,20609.7
8,CLIMB,103,1.004,9.915,10.880,21065.2
